,209,193,SMR_VSA4,VSA_EState9,SlogP_VSA2,PEOE_VSA9,SlogP_VSA4,MinEStateIndex,FpDensityMorgan2,FpDensityMorgan3,FpDensityMorgan1,VSA_EState5,Ka_mean
0,0,0,0.0,0.38324398152294886,0.09539380868735944,0.11112511790424101,0.0,0.9049398028804334,0.09698996655518388,0.24329159212880158,0.07040417209908723,0.0628052110551153,0.0005096569376946478
1,0,0,0.49999999999999994,0.7840605357214754,0.9999999999999999,1.0,0.49999999999999994,0.9557328376364257,0.07065217391304346,0.12354651162790709,0.09851694915254228,0.5424890271917705,0.44117638840829243
2,0,0,0.49999999999999994,0.38324398152294886,0.09539380868735944,0.11112511790424101,0.49999999999999994,0.9182402151749199,1.0,0.9686046511627909,0.7563559322033898,0.5466437855974793,0.006274363667798578
3,0,0,0.0,0.3520705313297605,0.22486348039128934,0.11344607423278434,0.0,0.6508207073992451,0.6086956521739131,0.43488372093023264,1.0,0.0628052110551153,0.004901814446345262
4,0,0,0.45750899280575547,1.0000000000000002,0.9841190677899595,0.8958453215003945,0.45750899280575547,0.8630817377883462,0.060869565217391286,0.11465116279069776,0.025423728813559254,0.0628052110551153,9.004903285034798e-05
5,0,0,0.0,0.38324398152294886,0.09539380868735944,0.11112511790424101,0.0,0.9082321928981738,0.39130434782608703,0.6325581395348837,0.3502824858757062,0.0628052110551153,0.007058677508629045
6,0,0,0.0,0.38324398152294886,0.09539380868735944,0.11112511790424101,0.0,0.9111423270353837,0.6645962732919255,0.6890365448504986,0.6101694915254238,0.0628052110551153,0.0012743629325043528
7,0,0,0.0,0.38261086271226125,0.6922869658890957,0.5657235475325488,0.0,0.08234448431410557,0.8158567774936061,1.0,0.8165503489531406,0.0,0.00022828434729671776
8,0,0,0.49999999999999994,0.38324398152294886,0.2565138484373731,0.20489304311359377,0.49999999999999994,0.7262029082885789,0.7391304347826086,0.8500000000000002,0.7076271186440678,0.428996289925623,0.0003625980925389352
9,0,0,0.0,0.9431881031564637,0.8092123826252812,0.7777497641915181,0.0,0.9443525569860359,0.11956521739130432,0.12354651162790709,0.1716101694915254,0.0628052110551153,0.15686262110724822
10,0,0,0.22875449640287773,0.38324398152294886,0.10333427479237967,0.12037503930141367,0.22875449640287773,0.8506131142898943,0.6086956521739131,0.43488372093023264,1.0,0.0628052110551153,0.00032338240049741186
11,1,0,0.9999999999999999,0.9932528572730812,0.9999999999999999,1.0,0.9999999999999999,0.9390872437752245,0.0,0.0,0.025423728813559254,1.0000000000000002,0.8725490008650493
12,1,0,0.5954531829082189,0.553128267432306,0.0,0.0,0.0,0.9907885185033574,0.16149068322981364,0.23156146179401993,0.19249394673123488,0.0628052110551153,0.01568612975776418
13,0,1,0.29772659145410946,0.4666734748663349,0.0,0.0,0.0,0.7849790853310821,0.5108695652173914,0.7462209302325583,0.4639830508474577,0.07316792139389827,0.0012155393944420678
14,1,1,0.0,0.38324398152294886,0.0,0.0,0.0,0.7836980138241797,0.40372670807453415,0.6890365448504986,0.22033898305084743,0.07144626516281033,0.048039075692020934
15,0,1,0.0,0.38324398152294886,0.0,0.0,0.0,0.7710795460205597,0.4896030245746692,0.7597573306370072,0.35593220338983056,0.05448806758848863,0.001029264857244832
16,0,0,0.0,0.38324398152294886,0.0,0.0,0.0,0.9778131357736392,0.3554987212276215,0.6232558139534884,0.19740777666999,0.0628052110551153,0.0012155393944420678
17,0,0,0.0,0.38324398152294886,0.0,0.0,0.0,0.9782223365654635,0.11531190926275992,0.29565217391304366,0.0,0.0628052110551153,0.003195931842538997
18,0,0,0.29772659145410946,0.4694320572741816,0.0,0.0,0.0,0.903642225234607,0.7391304347826086,0.8500000000000002,0.805084745762712,0.2326415597619464,0.0016371080838884437
19,1,0,0.5954531829082189,0.553128267432306,0.0,0.0,0.0,0.9907885185033574,0.16149068322981364,0.23156146179401993,0.19249394673123488,0.0628052110551153,1.0
20,1,1,0.0,0.38324398152294886,0.20863033368973788,0.2430353788017416,0.5849820143884893,0.8517800447722961,0.5981198589894241,0.9830295411690763,0.32569857993586815,0.39531760369303615,0.0007880883511894635
21,0,0,0.0,0.6692266364189807,0.5079404661050203,0.5092499213971727,0.0,0.9678597109651963,0.4130434782608695,0.6127906976744187,0.31779661016949146,0.0628052110551153,1.1617648767301289e-05
22,0,0,0.0,0.38324398152294886,0.4841190677899596,0.4815001572056547,0.0,1.0,0.26956521739130435,0.4586046511627909,0.14237288135593218,0.0628052110551153,7.107844182526105e-06
23,0,0,0.43209963843095467,0.38324398152294886,0.0,0.20921155926257698,0.0,0.9257486863676071,0.10559006211180122,0.23156146179401993,0.025423728813559254,0.0628052110551153,2.1421571777682127e-05
24,0,0,0.43209963843095467,0.38324398152294886,0.0,0.20921155926257698,0.0,0.9257486863676071,0.10559006211180122,0.23156146179401993,0.025423728813559254,0.0628052110551153,2.441176829584828e-06
25,0,1,0.0,0.38324398152294886,0.9758010718464463,0.7026135611210567,0.0,0.7078567537398905,0.1978260869565217,0.4170930232558142,0.054661016949152486,0.28142945380726925,5.245098810553747e-06
26,0,0,0.0,0.38324398152294886,0.0874533425823392,0.10187519650706833,0.0,0.8195258530247866,0.4521739130434783,0.648372093023256,0.37627118644067803,0.0628052110551153,2.2549022923875919e-07
27,0,0,0.9787544964028776,0.38324398152294886,0.10333427479237967,0.0,0.9787544964028776,0.8805488800117299,0.42028985507246375,0.6589147286821707,0.3069679849340866,0.7759624334641335,3.318627939013913e-05
28,1,1,0.0,0.38324398152294886,0.10431516684486894,0.22111340391540196,0.5214591156986434,0.7028406794486498,0.21739130434782605,0.45035389282103166,0.05084745762711851,0.8950173241568761,3.921569204152332e-08
29,0,1,0.0,0.38324398152294886,0.0,0.0,0.5849820143884893,0.9489708518222231,0.21739130434782605,0.3014534883720932,0.24470338983050843,0.0628052110551153,1.9607846020761648e-08
30,0,0,0.0,0.38324398152294886,0.0,0.19813325700455006,0.0,0.9591319374010259,0.36413043478260865,0.5683139534883722,0.24470338983050843,0.0628052110551153,0.0
31,0,1,0.0,0.20079851065796306,0.2047902122106738,0.09004063393902657,0.0,0.03722233402275299,0.6645962732919255,0.9431893687707643,0.5266343825665861,0.0628052110551153,0.00037240201554931604
32,1,1,0.0,0.0,0.4095804244213476,0.18008126787805315,0.0,0.0,0.21739130434782605,0.27674418604651163,0.22033898305084743,0.0628052110551153,0.00205867677333482
