,Metric,Dataset,Linear,Ridge,Lasso,ElasticNet,RForest,kNN,Gradient Boosting
0,MSE,WP6++ + gen.data (25%),0.030127132605280278,0.04216641457078877,0.06557242124274235,0.046647593723008515,0.08391670456049302,0.04644454306302045,0.15906574976089796
1,MAE,WP6++ + gen.data (25%),0.13993585266317918,0.12981541131610783,0.15928964432860462,0.14000685703278234,0.18830223499587126,0.13575083587821765,0.2676355557715068
2,RMSE,WP6++ + gen.data (25%),0.17357169298385114,0.2053446239149902,0.2560711253592297,0.21598054014889517,0.289683800997731,0.2155099604728757,0.3988304774724444
3,MSE,WP6++ + gen.data (40%),0.030127132605280278,0.034602071897803115,0.03751515299244251,0.03751515299244251,0.04840389209786558,0.04158212940912221,0.18705934784492595
4,MAE,WP6++ + gen.data (40%),0.13993585266317918,0.12590150504430012,0.13519453072118312,0.13519453072118312,0.17616149817421198,0.10778319490384923,0.3286076645426784
5,RMSE,WP6++ + gen.data (40%),0.17357169298385114,0.18601632158980866,0.19368828821702802,0.19368828821702802,0.22000884549914257,0.2039169669476334,0.43250358130878636
6,MSE,WP6++ + gen.data (48%),0.04884135613065745,0.014735217731649838,0.007563826223452359,0.007563826223452359,0.008538391414921935,0.010688133565587643,0.0031800419785291026
7,MAE,WP6++ + gen.data (48%),0.15412142754065133,0.08143644461959686,0.08133874389523013,0.08133874389523013,0.07531843481082524,0.06143510223829756,0.049948774682282204
8,RMSE,WP6++ + gen.data (48%),0.2210008057240006,0.1213887051238699,0.08697026056907245,0.08697026056907245,0.09240341668424353,0.10338342984050995,0.056391860924508444
