,Metric,Dataset,Linear,Ridge,Lasso,ElasticNet,RForest,kNN,Gradient Boosting
0,MSE,WP6 + gen.data (25%),0.030822488584547187,0.004933162089193931,0.005350560986803827,0.00398069561548797,0.0012614224954514209,0.0014978387715060704,0.0018515071345531263
1,MAE,WP6 + gen.data (25%),0.1332923823546977,0.04928144251626724,0.0689244956598738,0.05390719785583648,0.03052604662196531,0.03507433612951363,0.032566062147850884
2,RMSE,WP6 + gen.data (25%),0.17556334635836487,0.07023647264202504,0.07314752891796023,0.06309275406485257,0.03551651018120194,0.03870192206475113,0.043029142851713026
3,MSE,WP6 + gen.data (50%),0.030822488584547187,0.057817791500242674,0.05823560416992086,0.05777363367519275,0.008543061396030168,0.009653321199917818,0.04187429910382936
4,MAE,WP6 + gen.data (50%),0.1332923823546977,0.19289418622458132,0.19457499674259737,0.19266121634010297,0.07437793235139435,0.08613681816666093,0.15225458799897432
5,RMSE,WP6 + gen.data (50%),0.17556334635836487,0.24045330419905372,0.241320542370352,0.24036146462191635,0.09242868275611293,0.09825131653020136,0.2046321067277307
6,MSE,WP6 + gen.data (60%),0.01883324946182962,0.006514024347670404,0.0032111836215183757,0.0032111836215183757,0.0245606063215939,0.008382956403478175,0.02609223700726188
7,MAE,WP6 + gen.data (60%),0.11393972828438594,0.06635811659813573,0.04814267834427551,0.04814267834427551,0.09547660719634428,0.08043565974997086,0.09202996722828212
8,RMSE,WP6 + gen.data (60%),0.13723428675746313,0.08070950593127432,0.05666730646076603,0.05666730646076603,0.15671823863735165,0.09155848624501267,0.16153091656788765
