,Metric,Dataset,Linear,Ridge,Lasso,ElasticNet,RForest,kNN,Gradient Boosting
0,MSE,WP6++,0.05980704504266705,0.00454478771646346,0.007713644716010755,0.007713644716010755,0.0027682817584044382,3.521751107370265e-05,4.519848568938926e-05
1,MAE,WP6++,0.15106024942830215,0.05870611895176572,0.08782323096791936,0.08782323096791936,0.04386672343562915,0.0051093974017087365,0.004207208175828267
2,RMSE,WP6++,0.24455478944945455,0.06741504072878292,0.08782735744636039,0.08782735744636039,0.0526144633955763,0.005934434351621277,0.006722981904585886
