,304,209,SMR_VSA4,FpDensityMorgan3,PEOE_VSA6,fr_NH0,PEOE_VSA9,SlogP_VSA2,FpDensityMorgan1,VSA_EState5,MinEStateIndex,SlogP_VSA4,Ka_mean
0,1,0,0.0,0.24329159212880158,0.4659484285749514,0.0,0.11112511790424101,0.09539380868735944,0.07040417209908723,0.0628052110551153,0.9054991695778591,0.0,0.0004196456935331422
1,1,0,0.49999999999999994,0.12354651162790709,0.0,1.0,1.0,0.9999999999999999,0.09851694915254228,0.5424890271917705,0.9614112927735636,0.49999999999999994,0.4411260623507218
2,1,0,0.49999999999999994,0.9686046511627909,0.0,0.0,0.11112511790424101,0.09539380868735944,0.7563559322033898,0.5466437855974793,0.9201400409952785,0.49999999999999994,0.006184871576652012
3,1,0,0.0,0.43488372093023264,0.20361677531942907,0.0,0.11344607423278434,0.22486348039128934,1.0,0.0628052110551153,0.6257691191648154,0.0,0.0048121987473379955
4,1,0,0.45750899280575547,0.11465116279069776,0.14355548056977363,1.0,0.8958453215003945,0.9841190677899595,0.025423728813559254,0.0628052110551153,0.8594225115595765,0.45750899280575547,0.0
5,1,0,0.0,0.6325581395348837,0.1996921836749791,0.0,0.11112511790424101,0.09539380868735944,0.3502824858757062,0.0628052110551153,0.9091233774473937,0.0,0.006969256050545736
6,1,0,0.0,0.6890365448504986,0.06656406122499303,0.0,0.11112511790424101,0.09539380868735944,0.6101694915254238,0.0628052110551153,0.9123268044364949,0.0,0.0011844205555795228
7,1,0,0.0,1.0,0.31444731895101685,0.5,0.5657235475325488,0.6922869658890957,0.8165503489531406,0.0,0.0,0.0,0.00013824776352376882
8,1,0,0.49999999999999994,0.8500000000000002,0.0,0.0,0.20489304311359377,0.2565138484373731,0.7076271186440678,0.428996289925623,0.7087485852104141,0.49999999999999994,0.000272573604678069
9,0,0,0.0,0.12354651162790709,0.2515578551608135,1.0,0.7777497641915181,0.8092123826252812,0.1716101694915254,0.0628052110551153,0.9488840701576475,0.0,0.15678669056424696
10,1,0,0.22875449640287773,0.43488372093023264,0.21533322085466042,0.0,0.12037503930141367,0.10333427479237967,1.0,0.0628052110551153,0.8456972593379802,0.22875449640287773,0.00023335438098338282
11,0,1,0.9999999999999999,0.0,0.0,1.0,1.0,0.9999999999999999,0.025423728813559254,1.0000000000000002,0.9430881014323858,0.9999999999999999,0.8725375229922698
12,0,1,0.5954531829082189,0.23156146179401993,0.0,1.0,0.0,0.0,0.19249394673123488,0.0628052110551153,1.0,0.0,0.015597485263376695
13,1,0,0.29772659145410946,0.7462209302325583,0.37753692704515945,0.5,0.0,0.0,0.4639830508474577,0.07316792139389827,0.7734484179248845,0.0,0.0011255917200374936
14,1,1,0.0,0.6890365448504986,0.5662053184157695,0.5,0.0,0.0,0.22033898305084743,0.07144626516281033,0.7720382358347508,0.0,0.047953344811492805
15,1,0,0.0,0.7597573306370072,0.7045406150306488,0.5,0.0,0.0,0.35593220338983056,0.05448806758848863,0.7581480375080246,0.0,0.0009393004074877342
16,1,0,0.0,0.6232558139534884,0.6006156326500415,0.5,0.0,0.0,0.19740777666999,0.0628052110551153,0.9857169156916769,0.0,0.0011255917200374936
17,1,0,0.0,0.29565217391304366,1.0,0.5,0.0,0.0,0.0,0.0628052110551153,0.9861673570798352,0.0,0.0031061625166191463
18,0,0,0.29772659145410946,0.8500000000000002,0.14355548056977363,0.5,0.0,0.0,0.805084745762712,0.2326415597619464,0.904070817806047,0.0,0.00154719837475537
19,0,1,0.5954531829082189,0.23156146179401993,0.0,1.0,0.0,0.0,0.19249394673123488,0.0628052110551153,1.0,0.0,0.9999999999999999
20,1,1,0.0,0.9830295411690763,0.9657898300696669,0.0,0.2430353788017416,0.20863033368973788,0.32569857993586815,0.39531760369303615,0.8469817968972402,0.5849820143884893,0.0006981021817654142
